Nama_Sekolah;Provinsi;Kota_Kabupaten;Kecamatan;NPSN;Status;Bentuk_Pendidikan;Status_Kepemilikan;SK_Pendirian_Sekolah;Tanggal_SK_Pendirian;SK_Izin_Operasional;Tanggal_SK_Izin_Operasional;Kebutuhan_Khusus_Dilayani;Nama_Bank;Cabang_KCP_Unit;Rekening_Atas_Nama;Status_BOS;Waktu_Penyelenggaraan;Sertifikasi_ISO;Sumber_Listrik;Daya_Listrik;Kecepatan_Internet;Kepsek;Operator;Akreditasi;Kurikulum;Waktu;Alamat;RT_RW;Dusun;Desa_Kelurahan;Kode_Pos;Lintang;Bujur;Guru_L;Guru_P;Guru_Total;Tendik_L;Tendik_P;Tendik_Total;PTK_L;PTK_P;PTK_Total;Peserta_Didik_L;Peserta_Didik_P;Peserta_Didik_Total;Ruang_Kelas;Ruang_Perpus;Ruang_Lab;Ruang_Pratik;Rombel;
SD ISLAM TERPADU LHI;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20412010;Swasta;SD;Yayasan;78;01/07/2012;146 Tahun 2016;28/12/2016;Tidak ada;BPD DIY;(029) Capem Piyungan;SDIT Luqman Al Hakim Internasional;-;-;-;-;;;Nurul Qoyimah;munarni hasa;A;Kurikulum Merdeka;-;Jl. Karanglo, Jogoragan;0 / 0;Modalan;Banguntapan;55198;-7;110;7;25;32;2;6;8;9;31;40;309;238;547;24;1;1;1;23;
SD IT SALSABILA 3 BANGUNTAPAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20411841;Swasta;SD;Yayasan;Nomor 10 Tahun 2012;02/01/2012;422/2463;05/10/2011;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG PIYUNGAN...;SDITSALSABILA3BANGUNTAPAN...;-;-;-;-;;;Pandi Kuswoyo;Erika Purwaningrum;Tidak diisi;Kurikulum Merdeka;-;Jurugentong RT 10 RW 34;Oct-34;Jurugentong;Banguntapan;55198;-7;110;12;17;29;6;8;14;18;25;43;253;235;488;18;1;2;0;19;
SD Kanisius Sorowajan;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400588;Swasta;SD;Yayasan;HVV/076.A/91/S2640;16/04/1966;422/1145;02/07/1962;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SDKANISIUSSOROWAJAN...;-;-;-;-;;;Wahyuni;Ignatius Wahyudi;A;Kurikulum Merdeka;-;Jl. Sorowajan No.111, Banguntapan, Bantul, Yogyakarta;0 / 0;SOROWAJAN;Banguntapan;55198;-7;110;1;15;16;3;2;5;4;17;21;125;125;250;13;1;1;0;12;
SD MUHAMMADIYAH BANGUNTAPAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400605;Swasta;SD;Yayasan;2946/C.1877/DIY.51/77;01/09/1977;1581/KEP/1.0/B/2019;14/11/2019;C,C1,D,D1,H,K,Q;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SDMUHAMMADIYAHBANGUNTAPAN...;-;-;-;-;;;Isna Rahmiyati;LUKYANA DINAR PUSPITA;Tidak diisi;Kurikulum Merdeka;-;Jl. Wonosari Km 5, Banguntapan;17 / 0;Tegaltandan;Banguntapan;55198;-7;110;4;7;11;1;3;4;5;10;15;96;58;154;7;1;0;0;7;
SD MUHAMMADIYAH BODON;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400600;Swasta;SD;Yayasan;2937/L.1868/DIY.24/77;01/09/1977;2937/L.1868/DIY.24/77;01/09/1977;I - Cerdas Istimewa;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SDMUHAMMADIYAHBODON...;-;-;-;-;;;Eko Rusyan Anan Prasetyo;Restu Septiantoko;Tidak diisi;Kurikulum Merdeka;-;Bodon, Jagalan,banguntapan;07-May;Bodon;Jagalan;55192;-7;110;8;21;29;5;5;10;13;26;39;200;213;413;18;2;3;0;18;
SD MUHAMMADIYAH KALANGAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400482;Swasta;SD;Yayasan;3161/KEP/I.0/B/2019;01/04/1996;125/KPTS/PK/1996;01/01/1910;Tidak ada;BPD DIY;Ngipik;SD Muhammadiyah Kalangan;-;-;-;-;;;FREDI WANTO;Yuni Kismiyati;Tidak diisi;Kurikulum Merdeka;-;Kalangan, Baturetno,banguntapan;7 / 0;Kalangan;Baturetno;55197;-7;110;3;7;10;3;2;5;6;9;15;73;62;135;6;1;2;0;6;
SD MUHAMMADIYAH KARANGBENDO;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400489;Swasta;SD;Yayasan;213/PCM/IX/1970;01/07/1964;31/KTSP/1989;03/10/1989;Tidak ada;BPD DIY;Bantul;SD MUHAMMADIYAH KARANGBENDO;-;-;-;-;;;Hartini, S.Ag.;Riyanti;Tidak diisi;Kurikulum Merdeka;-;Jl. Bulu 2 Karangbendo;07-Mar;Karangbendo;Banguntapan;55198;-7;110;4;11;15;1;2;3;5;13;18;138;135;273;12;1;2;0;12;
SD MUHAMMADIYAH KARANGTURI;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400494;Swasta;SD;Yayasan;M-1/278/77;01/01/1971;M-1/278/77;26/02/1977;K - Kesulitan Belajar;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SDMUHAMMADIYAHKARANGTURI...;-;-;-;-;;;Indrawasih;DANTI ANDRIANI;A;Kurikulum Merdeka;-;Karangturi, Baturetno,Banguntapan;0 / 0;Manggisan;Baturetno;55197;-7;110;4;14;18;1;5;6;5;19;24;137;123;260;12;1;0;0;12;
SD MUHAMMADIYAH MERTOSANAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400493;Swasta;SD;Yayasan;04/IV.4/E/2004;01/07/1987;318/REK/III.0/A/2025;01/07/1987;K - Kesulitan Belajar;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANGUNTAPAN...;SDMUHAMMADIYAHMERTOSANAN...;-;-;-;-;;;Ana Rohmatulloh;Dianingsih Indriani;A;Kurikulum Merdeka;-;Mertosanan;2 / 0;Mertosanan;POTORONO;55196;-7;110;5;20;25;5;5;10;10;25;35;214;202;416;18;2;0;0;18;
SD QURROTA AYUN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400473;Swasta;SD;Yayasan;75;31/01/1994;106;25/11/2000;Tidak ada;BPD;Bantul;SD QURROTA A'YUN;-;-;-;-;;;BOWOKRISTANTO;Yatin;Tidak diisi;Kurikulum Merdeka;-;Babadan, Banguntapan,banguntapan;24 / 17;BABADAN;BANGUNTAPAN;55198;-7;110;7;17;24;5;4;9;12;21;33;161;141;302;13;1;1;0;12;
SDIT SALSABILA AL MUTHI`IN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20408470;Swasta;SD;Yayasan;182 Tahun 2008;24/12/2008;144 Tahun 2022;22/08/2022;Tidak ada;BPD DIY;cabang;SDIT SALSABILA AL MUTHIIN;-;-;-;-;;;Imam Sofyan;Selina Apit Candra;Tidak diisi;Kurikulum Merdeka;-;Jl. Cendrawasih Rt 14 Rw 27;14 / 27;Wonocatur;Banguntapan;55198;-7;110;5;16;21;4;4;8;9;20;29;209;214;423;13;1;2;0;16;
SMP NEGERI 1 BANGUNTAPAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400294;Negeri;SMP;Pemerintah Daerah;0292 0 1978;02/09/1978;0292 0 1978;02/09/1978;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SMP1BANGUNTAPANQQBOSNAS...;-;-;-;-;;;Harjana;Dwi Hartana;A;Kurikulum Merdeka;-;Jl. Karangturi;8 / 0;Manggisan;Baturetno;55197;-7;110;15;29;44;6;1;7;21;30;51;364;400;764;25;1;6;0;24;
SMP NEGERI 2 BANGUNTAPAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400349;Negeri;SMP;Pemerintah Daerah;0219/O/1981;14/07/1981;14/07/1981;14/07/1981;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG PIYUNGAN...;SMP2BANGUNTAPANQQBOSNAS...;-;-;-;-;;;Alina Fiftiyani Nurjannah;DARPITO NUGROHO;A;Kurikulum Merdeka;-;Jln. Karangsari, Banguntapan, Bantul;0 / 0;Karangsari;Banguntapan;55198;-7;110;10;17;27;2;3;5;12;20;32;241;231;472;14;2;4;0;15;
SMP NEGERI 3 BANGUNTAPAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400331;Negeri;SMP;Pemerintah Daerah;0557/0/1984;20/11/1984;0557/0/1984;20/11/1984;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SMP3BANGUNTAPANQQBOSNAS...;-;-;-;-;;;Lies Arifah;;A;Kurikulum Merdeka;-;Jalan Ngablak No. 84 Jambidan, Banguntapan, Bantul;0 / 0;Ngablak;JAMBIDAN;55195;-7;110;15;27;42;5;3;8;20;30;50;311;361;672;22;1;6;0;21;
SMP NEGERI 4 BANGUNTAPAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400344;Negeri;SMP;Pemerintah Daerah;NO. 009 TH 1968;01/08/1968;NO. 276/SK/VI/68;01/08/1968;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG KOTEGEDE...;SMPNEGERI4BANGUNTAPANQQBOSNAS...;-;-;-;-;;;Sugi Paryanto;Sasita Dewayani;B;Kurikulum Merdeka;-;Jl. Wijoyo Mulyo 05;3 / 0;Grojogan;Tamanan;55191;-7;110;11;14;25;3;2;5;14;16;30;197;186;383;12;1;5;0;12;
SMP NEGERI 5 BANGUNTAPAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400340;Negeri;SMP;Pemerintah Daerah;0315/0/1995;26/10/1995;0315/0/1995;20/10/1995;Tidak ada;BPD DIY;Piyungan;SMP 5 BANGUNTAPAN QQ BOSNAS;-;-;-;-;;;Suci Wijayanti;Junaidi;A;Kurikulum Merdeka;-;Sanggrahan;5 / 0;Sanggrahan;Potorono;55196;-7;110;10;13;23;3;3;6;13;16;29;177;203;380;13;1;3;0;12;
SMP BINAJAYA BANGUNTAPAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400430;Swasta;SMP;Yayasan;03/I.13.1/I.86;04/01/1986;1566/I.13.2/PR/2000;01/07/2000;Tidak ada;BANK BPD DIY;BANTUL;SMP BINA JAYA;-;-;-;-;;;Sekar Sumirat;Yudith Bramandito;B;Kurikulum Merdeka;-;Jln. Wonosari Km. 5 Pandansari;10 / 0;Pandansari;Banguntapan;55198;-7;110;3;4;7;3;3;6;6;7;13;30;24;54;3;1;1;0;3;
SMP ISLAM TERPADU LHI;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;69880749;Swasta;SMP;Yayasan;Nomor 100 Tahun 2022;20/04/2022;Nomor 183 Tahun 2014;01/11/2014;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG PIYUNGAN...;SMPITLUQMANALHAKIMINTERNASIONAL...;-;-;-;-;;;Riska Putri Hendrastuti;Yunia Zaibunnisa;A;Kurikulum Merdeka;-;Jln. Karanglo Jogoragan Banguntapan Bantul;0 / 0;Jogoragan;Banguntapan;55198;-7;110;6;14;20;5;5;10;11;19;30;118;102;220;12;1;2;0;9;
SMP MUHAMMADIYAH BANGUNTAPAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400309;Swasta;SMP;Yayasan;07/H/1986;25/04/1986;07/H/1986;25/04/1986;Tidak ada;BPD;Bantul;SMP MUH BANGUNTAPAN;-;-;-;-;;;Riyanto;Mujono;A;Kurikulum Merdeka;-;Wiyoro Lor Baturetno Banguntapan;6 / 0;Wiyoro;Baturetno;55197;-7;110;4;13;17;4;0;4;8;13;21;144;80;224;11;1;3;0;8;
SMA NEGERI 1 BANGUNTAPAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400406;Negeri;SMA;Pemerintah Pusat;0601/0/1985;22/11/1985;0601/0/1985;22/11/1985;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BATURETNO PIYUNGAN BANTUL DIY...;SMANEGERI1BANGUNTAPAN...;-;-;-;-;;;Jaka Tumuruna;;A;Kurikulum Merdeka;-;NGENTAK, BATURETNO, BANGUNTAPAN, BANTUL;0 / 0;Ngentak;Baturetno;55197;-7;110;12;31;43;8;8;16;20;39;59;283;470;753;21;2;6;0;21;
SMA NEGERI 2 BANGUNTAPAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400380;Negeri;SMA;Pemerintah Daerah;0426/O/1991;15/07/1991;0426/O/1991;15/07/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  BANTUL...;SMANEGERI2BANGUNTAPAN...;-;-;-;-;;;Jaka Tumuruna;Andy Setiawan;A;Kurikulum Merdeka;-;Glondong, Wirokerten, Banguntapan, Bantul;6 / 0;Glondong;Wirokerten;55194;-7;110;14;20;34;6;7;13;20;27;47;270;485;755;21;1;6;0;21;
SMA BOPKRI BANGUNTAPAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20400167;Swasta;SMA;Yayasan;525 / H / 1986;24/06/1986;525 / H / 1986;24/06/1986;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SMUBOPKRIBANGUNTAPAN...;-;-;-;-;;;;;Tidak diisi;Tidak diisi;-;JL. SUKUN NO. 94 KARANGBENDO;04-Feb;KARANGBENDO;Banguntapan;55198;-7;110;0;3;3;3;1;4;3;4;7;0;0;0;0;0;0;0;0;
SMK KESEHATAN AMANAH HUSADA BANGUNTAPAN BANTUL;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Banguntapan;20409905;Swasta;SMK;Yayasan;0991 Tahun 2011;20/10/2011;0991 Tahun 2011;20/10/2011;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG PIYUNGAN...;SMKKESEHATANAMANAHHUSADA...;-;-;-;-;;;Abdul Gani;Tri Wulan Suci Meiwati;Tidak diisi;Kurikulum Merdeka;-;NGIPIK RAYA 493;Jun-14;MANGGISAN;Baturetno;55197;-7;110;2;12;14;2;2;4;4;14;18;11;101;112;10;1;1;0;6;
SD NEGERI 1 KADIPIRO;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400536;Negeri;SD;Pemerintah Daerah;0;29/09/1988;37 Tahun 2025;29/09/1988;D1,K;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SD1KADIPIROKASIHANQQBOSNAS...;-;-;-;-;;;Titin Widianingsih;;A;Kurikulum Merdeka;-;Jln Tinosidin, Sutopadan Ngestiharjo Kasihan Bantul 55281;0 / 0;Sutopadan;Ngestiharjo;55182;-7;110;10;8;18;2;2;4;12;10;22;161;173;334;12;1;2;0;12;
SD NEGERI 1 PADOKAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400507;Negeri;SD;Pemerintah Daerah;NOMOR 37 TAHUN 2025;29/07/2025;NOMOR 37 TAHUN 2025;29/07/2025;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL / KASONGAN...;SD1PADOKANKASIHANQQBOSNAS...;-;-;-;-;;;Veny Nuraini Rohadi;;A;Kurikulum Merdeka;-;Jl. Bibis, Padokan.;0 / 0;PADOKAN;Tirtonirmolo;55181;-7;110;5;12;17;2;4;6;7;16;23;165;151;316;12;1;2;0;12;
SD NEGERI 1 SRIBITAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400742;Negeri;SD;Pemerintah Daerah;98/SD.SRB/VI/2012;16/06/2012;37 Tahun 2025;29/07/2025;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SDISRIBITANKASIHANQQBOSNAS...;-;-;-;-;;;Sri Hartanti;Eva Oktaviawati;A;Kurikulum Merdeka;-;Sribitan, Bangunjiwo,kasihan;Jan-21;Sribitan;Bangunjiwo;55184;-7;110;1;9;10;1;3;4;2;12;14;87;90;177;10;1;3;0;7;
SD NEGERI 2 KADIPIRO;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400731;Negeri;SD;Pemerintah Daerah;724/Pem/Ngt/1988;29/09/1988;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG KASONGAN...;SD2KADIPIROKASIHANQQBOSNAS...;-;-;-;-;;;Ninis Asih Winardiharni;Adin Fathurrahman;A;Kurikulum Merdeka;-;Jln. Wates, Ngestiharjo,kasihan;7 / 0;Kadipiro;NGESTIHARJO;55182;-7;110;2;6;8;2;3;5;4;9;13;55;38;93;6;1;2;0;6;
SD NEGERI 2 PADOKAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400787;Negeri;SD;Pemerintah Pusat;125/KPTS/1991;01/01/1910;125/KPTS/1991;01/04/1991;Tidak ada;BANK BPD DIY;Bantul;SD 2 PADOKAN;-;-;-;-;;;Sri Lestari;Dewi Wahyuni;Tidak diisi;Kurikulum Merdeka;-;Tirtonirmolo, Kasihan, Bantul;0 / 0;Padokan;Tirtonirmolo;55181;-7;110;5;19;24;2;2;4;7;21;28;225;228;453;18;1;2;0;17;
SD NEGERI 3 KADIPIRO;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400770;Negeri;SD;Pemerintah Daerah;125/KPTS/1994;01/08/1964;37 TAHUN 2025;29/07/2025;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SD3KADIPIROKASIHANQQBOSNAS...;-;-;-;-;;;Nanang Setiadi;Subbadriyah;Tidak diisi;Kurikulum Merdeka;-;Sonopakis Lor, Ngestiharjo,kasihan;0 / 0;Sonopakis Lor;Ngestiharjo;55182;-7;110;2;6;8;2;1;3;4;7;11;54;54;108;6;1;1;0;6;
SD NEGERI BANGUNJIWO;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400650;Negeri;SD;Pemerintah Daerah;329;13/11/2006;Nomor 37 Tahun 2025;29/07/2025;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG KASONGAN...;SDBANGUNJIWOKASIHANQQBOSNAS...;-;-;-;-;;;Agus Kuncoro;Kasiono;Tidak diisi;Kurikulum Merdeka;-;Tegalrejo, Bangunjiwo,kasihan;7 / 0;Ngentak;BANGUNJIWO;55184;-7;110;3;16;19;2;1;3;5;17;22;188;161;349;12;1;1;0;12;
SD NEGERI BANYURIPAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400635;Negeri;SD;Pemerintah Pusat;158/KPTS/1982;01/01/1980;422/1027;01/01/1980;Tidak ada;BANK BPD DIY;Bantul/Kasihan;SD BANYURIPAN;-;-;-;-;;;Hery Purnomo;;Tidak diisi;Kurikulum Merdeka;-;Kenalan;3 / 0;Kenalan;Bangunjiwo;55184;-7;110;5;4;9;2;0;2;7;4;11;76;42;118;6;0;0;0;6;
SD NEGERI BIBIS;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400648;Negeri;SD;Pemerintah Daerah;125/KPTS/1994;01/03/1978;37 Tahun 2025;29/07/2025;Tidak ada;BPD DIY;BANTUL;SD BIBIS;-;-;-;-;;;Arif Haryanto;Retno Puji Rahayu;A;Kurikulum Merdeka;-;Bibis, Bangunjiwo,kasihan;0 / 0;Bibis;Bangunjiwo;55184;-7;110;5;13;18;2;1;3;7;14;21;154;148;302;12;1;1;1;12;
SD NEGERI BRAJAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400643;Negeri;SD;Pemerintah Daerah;-;01/01/1982;37 Tahun 2025;01/04/1991;Tidak ada;BPD DIY;BANTUL;SD BRAJAN;-;-;-;-;;;Siti Sarofah;Warsiyanti, S.Pd.;Tidak diisi;Kurikulum Merdeka;-;Brajan;3 / 0;BRAJAN;Tamantirto;55183;-7;110;2;8;10;0;1;1;2;9;11;55;47;102;6;1;0;0;6;
SD NEGERI DONOTIRTO;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400695;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/01/1975;NOMOR 37 TAHUN 2025;29/07/2025;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG KASIHAN...;SDDONOTIRTOKASIHANQQBOSNAS...;-;-;-;-;;;Agus Kuncoro;Arie Yuliana Eka Susanti;B;Kurikulum Merdeka;-;Donotirto, Bangunjiwo, Kasihan;0 / 0;Donotirto;Bangunjiwo;55184;-7;110;2;6;8;1;0;1;3;6;9;66;48;114;6;1;1;0;6;
SD NEGERI KALANGAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400455;Negeri;SD;Pemerintah Daerah;-;01/07/1930;37 Tahun 2025;29/07/2025;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SDKALANGANKASIHANQQBOSNAS...;-;-;-;-;;;Sitri;FAUZIAH ROHMATIN;A;Kurikulum Merdeka;-;Kalangan, Bangunjiwo,kasihan;5 / 0;KALANGAN;Bangunjiwo;55184;-7;110;4;4;8;1;2;3;5;6;11;53;50;103;6;1;2;0;6;
SD NEGERI KALIPUCANG;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400223;Negeri;SD;Pemerintah Daerah;0;01/07/1981;125/KPTS/1994;01/04/1994;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SDKALIPUCANGKASIHANQQBOSNAS...;-;-;-;-;;;Ag Triyanta;;Tidak diisi;Kurikulum Merdeka;-;Kalipucang, Bangunjiwo, Kasihan, Bantul;4 / 0;KALIPUCANG;Bangunjiwo;55184;-7;110;4;6;10;2;1;3;6;7;13;77;48;125;9;1;1;0;6;
SD NEGERI KARANGJATI;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400229;Negeri;SD;Pemerintah Daerah;125/KPTS/1994;21/07/1981;125/KPTS/1994;01/04/1994;Tidak ada;BPD;BANTUL/KASONGAN;SD KARANGJATI KASIHAN QQ BOSNAS;-;-;-;-;;;Subirah;NANDA PUTRA AGINSHA;A;Kurikulum Merdeka;-;Tamantirto;4 / 0;JETIS;Tamantirto;55183;-7;110;9;8;17;1;1;2;10;9;19;166;181;347;12;1;2;0;12;
SD NEGERI KASIHAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400233;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD;cabang;SD KASIHAN;-;-;-;-;;;Harsiana Wardani;;A;Kurikulum Merdeka;-;Bibis, Tamantirto,kasihan;4 / 0;Kasihan;Tamantirto;55183;-7;110;3;16;19;1;2;3;4;18;22;168;159;327;12;1;2;0;12;
SD NEGERI KASONGAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400232;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;Nomor 37 Tahun 2025;29/07/2025;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SDKASONGANKASIHANQQBOSNAS...;-;-;-;-;;;Noviarda Yastika;;Tidak diisi;Kurikulum Merdeka;-;Jerontabag;7 / 0;Jerontabag, Bangunjiwo;Bangunjiwo;55184;-7;110;5;13;18;4;1;5;9;14;23;152;169;321;12;1;1;0;12;
SD NEGERI NGEBEL;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400273;Negeri;SD;Pemerintah Daerah;2589/DP/002/IX/2012;20/09/2012;338/Pem/TT/IX/2017;27/09/2017;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SDNGEBELKASIHANQQBOSNAS...;-;-;-;-;;;Nanang Setiadi;;Tidak diisi;Kurikulum Merdeka;-;Ngebel, Tamantirto,kasihan;7 / 0;Ngebel Tamantiro Kasihan Bantul;Tamantirto;55183;-7;110;7;10;17;1;1;2;8;11;19;146;137;283;11;1;0;0;12;
SD NEGERI NGRUKEMAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400241;Negeri;SD;Pemerintah Daerah;0;01/01/1975;143/00990/DISPERTARU;01/01/1910;Tidak ada;BPD;Kasongan;SD ngrukeman;-;-;-;-;;;Subiyanta;Dyah Maya Rikawati, S.Pd;Tidak diisi;Kurikulum Merdeka;-;Rukeman;0 / 0;Rukeman;Tamantirto;55183;-7;110;7;13;20;2;3;5;9;16;25;174;193;367;12;1;2;0;14;
SD NEGERI NIRMALA;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400249;Negeri;SD;Pemerintah Daerah;368/P&K/R.KSH/XI/88;09/11/1988;37 Tahun 2025;29/07/2025;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG KASIHAN...;SDNIRMALAKASIHANQQBOSNAS...;-;-;-;-;;;Saminem;RINA ANDRIYANA;A;Kurikulum Merdeka;-;Jeblog, Tirtonirmolo, Kasihan;1 / 0;jeblog;Tirtonirmolo;55181;-7;110;3;6;9;1;3;4;4;9;13;38;27;65;6;1;2;0;6;
SD NEGERI REJODADI;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20403529;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;37 TAHUN 2025;29/07/2025;Tidak ada;BPD;BANTUL;SD REJODADI;-;-;-;-;;;Siti Sarofah;;Tidak diisi;Kurikulum Merdeka;-;Brengosan;0 / 0;Brengosan;Ngestiharjo;55182;-7;110;1;8;9;2;3;5;3;11;14;79;92;171;6;1;2;0;6;
SD NEGERI SAMBIKEREP;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400146;Negeri;SD;Pemerintah Daerah;0;01/01/1978;0;01/01/1910;Tidak ada;BPD DIY;KASONGAN;SD SAMBIKEREP;-;-;-;-;;;Rasminah;Sunardiyono;A;Kurikulum Merdeka;-;Sambikerep;1 / 0;SAMBIKEREP;Bangunjiwo;55184;-7;110;1;7;8;0;2;2;1;9;10;57;53;110;6;1;2;0;6;
SD NEGERI SEMBUNGAN;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400106;Negeri;SD;Pemerintah Daerah;0;01/01/1910;125/KPTS/1991;01/01/1910;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL/KASONGAN...;SDSEMBUNGANKASIHANQQBOSNAS...;-;-;-;-;;;Ari Sulistyowati;;Tidak diisi;Kurikulum Merdeka;-;Sembungan, Bangunjiwo,kasihan;0 / 0;sembungan;Bangunjiwo;55184;-7;110;5;6;11;0;3;3;5;9;14;63;45;108;6;1;1;0;6;
SD NEGERI SONOSEWU;Prov. D.I. Yogyakarta;Kab. Bantul;Kec. Kasihan;20400780;Negeri;SD;Pemerintah Pusat;125/KPTS/1991;01/04/1991;37 Tahun 2025;13/11/2006;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG BANTUL...;SDSONOSEWUKASIHANQQBOSNAS...;-;-;-;-;;;Muginah;;Tidak diisi;Kurikulum Merdeka;-;Sonopakis Kidul;0 / 0;Sonopakis Kidul;Ngestiharjo;55182;-7;110;4;12;16;2;3;5;6;15;21;172;156;328;12;1;3;0;12;
